file name,contrast,gradient std,product
77,0.204748,10.864739,2.224531
78,0.426573,15.774234,6.728868
79,0.588785,21.509832,12.664666
80,0.285714,12.662561,3.617874
81,0.710000,23.286976,16.533752
82,0.376855,17.389332,6.553250
83,0.241877,13.186418,3.189494
84,0.936508,14.537538,13.614518
85,0.185567,19.586267,3.634565
86,0.541176,15.125737,8.185693
87,0.533333,31.417557,16.756029
88,0.982222,54.498749,53.529881
89,0.557789,36.020054,20.091587
90,0.280612,13.213099,3.707757
91,0.340206,15.096984,5.136087
92,0.423313,21.067730,8.918242
93,0.715736,19.304762,13.817114
94,0.198276,12.327711,2.444287
95,0.555556,21.185202,11.769556
96,0.797101,22.701847,18.095673
97,0.541667,27.634550,14.968714
98,0.473684,21.417976,10.145357
99,0.479452,11.290821,5.413407
100,0.394366,18.749025,7.393981
101,0.684210,14.488785,9.913377
102,0.504132,23.663774,11.929671
103,0.425414,14.124545,6.008784
104,0.532710,18.443314,9.824943
105,0.668016,39.124023,26.135481
106,0.322034,13.519004,4.353577
107,0.353741,15.491523,5.479994
108,0.245283,12.027712,2.950193
109,0.325397,14.531731,4.728579
110,0.714286,13.973715,9.981222
111,0.583618,25.643324,14.965899
112,0.543860,16.109285,8.761189
113,0.732877,13.578551,9.951404
114,0.914286,22.611647,20.673504
115,0.491525,12.195932,5.994611
116,0.663265,30.515886,20.240128
117,0.438775,22.918839,10.056225
118,0.407115,19.033705,7.748899
119,0.800000,24.136383,19.309103
120,0.353846,16.394787,5.801232
121,0.430233,27.007872,11.619665
122,0.342282,11.920716,4.080245
123,1.000000,57.670033,57.670017
124,0.165468,8.979823,1.485870
125,0.990521,54.345997,53.830864
126,0.542857,21.215296,11.516874
127,0.467811,16.299757,7.625208
128,0.089744,12.075691,1.083716
129,0.457944,22.986811,10.526670
130,0.737705,24.047844,17.740211
131,0.527397,18.278324,9.639937
132,0.205021,12.851320,2.634789
133,1.000000,51.232784,51.232773
134,0.414141,14.811149,6.133910
135,0.500000,33.263355,16.631676
136,0.918367,22.271090,20.453039
137,0.452514,19.415329,8.785707
138,0.250000,17.649677,4.412419
139,0.504950,22.768879,11.497156
140,0.458599,19.381186,8.888186
141,0.707317,27.132000,19.190926
142,0.168831,13.921254,2.350342
143,0.768421,17.065462,13.113460
144,0.729508,71.525940,52.178757
145,0.478261,15.932542,7.619908
146,0.624549,31.103489,19.425644
147,0.313830,32.655724,10.248339
148,0.367521,17.737394,6.518871
149,0.634615,33.695251,21.383524
150,0.554140,20.484392,11.351223
151,1.000000,66.826126,66.826118
152,0.514451,31.442019,16.175373
153,0.412766,16.484522,6.804249
154,0.276451,17.238564,4.765610
155,0.542857,21.705395,11.782928
156,0.523013,26.294664,13.752439
157,0.262136,11.197147,2.935174
158,0.636364,24.965853,15.887361
159,0.795276,51.771927,41.172947
160,0.341538,18.341566,6.264350
161,0.560784,23.441690,13.145732
162,0.322314,10.288234,3.316042
163,0.455696,12.953424,5.902826
164,0.500000,22.935980,11.467985
165,0.968750,52.581509,50.938332
166,0.508876,27.821472,14.157672
167,0.735714,25.270185,18.591637
168,0.491409,20.897322,10.269130
169,0.559633,20.061842,11.227269
170,0.364706,16.445343,5.997713
171,0.359431,16.969822,6.099473
172,0.261845,14.221847,3.723925
173,0.310541,22.144661,6.876832
174,0.500000,19.982523,9.991259
175,0.593220,17.378426,10.309235
176,0.608833,25.636824,15.608539
177,0.425101,19.126261,8.130596
178,0.511450,9.805268,5.014908
179,0.557692,17.449179,9.731272
180,0.529412,15.059558,7.972705
181,0.363636,18.625134,6.772776
182,0.404082,16.436905,6.641851
183,0.345196,15.043777,5.193047
184,0.538462,17.054951,9.183434
185,0.500000,14.088705,7.044352
186,0.782101,25.990082,20.326874
187,0.529032,17.366156,9.187256
188,0.439024,20.751469,9.110400
189,0.522267,44.952785,23.477364
190,0.340996,17.033939,5.808507
191,0.820000,15.497993,12.708354
192,0.373494,13.696823,5.115680
193,0.574913,22.275307,12.806360
194,0.430421,23.070341,9.929953
195,0.495146,19.808603,9.808143
196,0.468750,18.689096,8.760513
197,0.317585,19.485775,6.188396
198,0.640845,23.474745,15.043674
199,0.180077,8.983089,1.617644
200,0.543307,24.644672,13.389625
201,0.339286,18.853992,6.396890
202,0.294915,13.114863,3.867773
203,0.643312,17.099764,11.000484
204,0.507246,27.854046,14.128863
205,0.532467,18.925426,10.077174
206,0.419643,23.171654,9.723819
207,0.349057,11.453485,3.997914
208,0.677165,27.528843,18.641579
209,0.274510,14.294012,3.923846
210,0.215385,13.756114,2.962855
211,0.661538,17.705841,11.713093
212,0.636363,16.340723,10.398632
213,0.415730,16.453909,6.840389
214,0.414286,20.475079,8.482533
215,0.637131,22.753906,14.497214
216,0.960784,18.697979,17.964722
217,0.586207,23.224066,13.614106
218,0.307494,24.144373,7.424239
219,0.671233,45.144833,30.302696
220,0.366120,15.819069,5.791680
221,0.821918,16.719564,13.742107
222,0.259259,18.193075,4.716723
223,0.677419,14.984653,10.150893
224,0.531135,21.898050,11.630832
225,0.956896,61.230747,58.591488
226,0.345133,21.707150,7.491848
227,0.130233,10.135275,1.319943
228,0.537415,26.142742,14.049500
229,0.505455,23.718443,11.988595
230,0.451613,15.772928,7.123258
231,0.168317,11.788496,1.984202
232,0.452381,20.298395,9.182607
233,0.878788,17.916727,15.744998
234,0.269565,11.008450,2.967495
235,0.568106,20.194191,11.472447
236,0.557047,19.617807,10.928040
237,0.335423,14.547002,4.879402
238,0.326007,13.011298,4.241778
239,0.400000,17.834717,7.133884
240,0.466667,20.108948,9.384175
241,0.561224,17.199774,9.652934
242,0.552239,11.561092,6.384483
243,0.650000,34.325279,22.311430
244,0.658031,16.967871,11.165385
245,0.295699,24.208984,7.158570
246,0.204611,9.863876,2.018257
247,0.214458,14.592646,3.129507
248,0.319865,15.010026,4.801187
249,0.805825,30.236130,24.365034
250,0.863415,17.750599,15.326126
251,0.228840,13.114202,3.001055
252,0.060870,15.567674,0.947598
253,0.450820,14.628163,6.594663
254,0.347480,24.670519,8.572515
255,0.474860,17.929665,8.514086
256,0.909091,14.508925,13.189930
257,0.428571,24.364489,10.441923
258,0.533333,21.860935,11.659163
259,0.536765,22.845346,12.262575
260,0.492187,31.152414,15.332828
261,0.437500,16.655371,7.286724
262,0.330233,16.620647,5.488678
263,0.272727,20.214211,5.512966
264,0.545455,29.608135,16.149891
265,0.689189,28.880474,19.904108
266,0.144963,9.799436,1.420557
267,0.223022,12.429691,2.772089
268,0.262821,16.031475,4.213400
269,0.533333,26.004597,13.869118
270,0.577236,21.217617,12.247566
271,0.907895,26.640837,24.187073
272,0.326203,20.807091,6.787340
273,0.636364,22.882607,14.561657
274,0.800000,27.265514,21.812408
275,0.591549,19.944946,11.798419
276,0.750000,24.588705,18.441526
277,0.757225,41.203568,31.200388
278,0.403727,11.124730,4.491351
279,0.694267,20.025253,13.902882
280,0.701149,21.503126,15.076902
281,0.369863,14.820118,5.481413
282,0.700000,23.283340,16.298336
283,0.553846,22.436684,12.426470
284,0.761194,32.480644,24.724070
285,0.341880,15.498438,5.298611
286,0.486957,26.709366,13.006299
287,0.587879,16.562410,9.736690
